text|label
Choć od pracej aż omdlewa.|kochanowski
Spiewa słowik na topoli,|kochanowski
A w sercu go przedsię boli|kochanowski
Dawna krzywda; mocny Boże,|kochanowski
Iż z człowieka ptak być może!|kochanowski
Nadobnać to dziewka była,|kochanowski
Póki między ludźmi żyła;|kochanowski
Toż niebodze zawadziło,|kochanowski
Bo każdemu piękne miło.|kochanowski
Zły a niewierny pohańcze,|kochanowski
Zbójca własny, nie posłańcze!|kochanowski
Miawszy odnieść siostrę żenie|kochanowski
Zawiodłeś ją w leśne cienie.|kochanowski
Próznoś jej język urzynał,|kochanowski
Bo wszytko, coś z nią poczynał,|kochanowski
Krwią na rąbku wypisała|kochanowski
I smutnej siestrze posłała.|kochanowski
Nie wymyślaj przyczyn sobie,|kochanowski
Pewnać już sprawa o tobie;|kochanowski
Nie składaj nic na źwierz chciwy,|kochanowski
Umysł twój krzyw niecnotliwy.|kochanowski
Siadaj za stół, jesliś głodzien,|kochanowski
Nakarmią cię, czegoś godzien;|kochanowski
Już ci żona warzy syna,|kochanowski
Nieprzejednanać to wina.|kochanowski
Nie wiesz, królu, nie wiesz, jaki|kochanowski
Obiad i co za przysmaki|kochanowski
Na twym stole; ach, łakomy,|kochanowski
Swe ciało jesz, niewiadomy!|kochanowski
A gdy go tak uraczono,|kochanowski
Głowę na wet przyniesiono;|kochanowski
Temu czasza z rąk wypadła,|kochanowski
Język zmilknął, a twarz zbladła.|kochanowski
A żona powstawszy z ławy:|kochanowski
Coć się zdadzą te potrawy?|kochanowski
To za twą niecnotę tobie,|kochanowski
Zdrajca mój, synowski grobie!|kochanowski
Porwie się mąż ku niej zatym,|kochanowski
Alić nasz dudkiem czubatym;|kochanowski
Sama się w jaskółkę wdała,|kochanowski
Oknem, łając, poleciała.|kochanowski
A ona niewinna córa|kochanowski
Obrosła w słowicze pióra;|kochanowski
I dziś wdzięcznym głosem cieszy,|kochanowski
Kto się kolwiek w drogę śpieszy.|kochanowski
Chwała Bogu, że te kraje|kochanowski
Niosą insze obyczaje,|kochanowski
Ani w Polszcze jako żywy|kochanowski
Zjawiły się takie dziwy.|kochanowski
Jednak ja mam, co mię boli;|kochanowski
A by dziś nie ludziom k’woli,|kochanowski
Co spiewam, płakać bych miała,|kochanowski
Acz me pieśni płacz bez mała. |kochanowski
Komum ja kwiateczki rwała,|kochanowski
A ten wianek gotowała?|kochanowski
Tobie, miły, nie inszemu,|kochanowski
Któryś sam mił sercu memu.  |kochanowski
Włóż na piękną głowę twoję|kochanowski
Tę rozkwitłą pracą moję;|kochanowski
A mnie samę na sercu miej,|kochanowski
Toż i o mnie sam rozumiej. |kochanowski
Żadna chwila ta nie była,|kochanowski
Żebych cię z myśli spuściła;|kochanowski
I sen mię prace nie zbawi,|kochanowski
Spię, a myślę, by na jawi. |kochanowski
Tę nadzieję mam o tobie,|kochanowski
Że mię też masz za co sobie:|kochanowski
Ani wzgardzisz chucią moją,|kochanowski
Ale mi ją oddasz swoją. |kochanowski
Tego zataić nie mogę,|kochanowski
Co mi w sercu czyni trwogę;|kochanowski
Wszytki tu wzrok ostry mają|kochanowski
I co piękne, dobrze znają. |kochanowski
Prze Bóg, siostry, o to proszę,|kochanowski
Niech tej krzywdy nie odnoszę,|kochanowski
By mię która w to tknąć miała,|kochanowski
O com się ja utroskała. |kochanowski
O wszelaką inszą szkodę|kochanowski
Łacno przyzwolę na zgodę;|kochanowski
Ale kto mię w miłość ruszy,|kochanowski
Wiecznie będzie krzyw mej duszy! |kochanowski
Za mną, za mną, piękne koło,|kochanowski
Opiewając mi wesoło!|kochanowski
Czuję się, że moja kolej,|kochanowski
A ja nie mam wydać wolej. |kochanowski
Sam ze wszytkiego stworzenia|kochanowski
Człowiek ma śmiech z przyrodzenia;|kochanowski
Inszy wszelaki źwierz niemy|kochanowski
Nie śmieje się, jako chcemy. |kochanowski
Nie ma w swym szaleństwie miary,|kochanowski
Kto gardzi Pańskimi dary;|kochanowski
A bodaj miał płakać siła,|kochanowski
Komu dobra myśl niemiła. |kochanowski
Śmiejmy się! Czy nie masz czemu?|kochanowski
Śmiejże się przynamniej temu,|kochanowski
Że, nie mówiąc nic trefnego,|kochanowski
Chcę po was śmiechu śmiesznego. |kochanowski
Wystąp’ ty, coś ciągnął kota,|kochanowski
A puść się na chwilę płota!|kochanowski
Uchowa cię dziś Bóg szkody,|kochanowski
Bo tu opodal do wody. |kochanowski
Ciągnie go drugi na suszy,|kochanowski
Tobie trzeba aż po uszy;|kochanowski
Nieboże mój, kto cię zbłaźnił,|kochanowski
Żeś tak srogie źwierzę draźnił? |kochanowski
Nie znasz ludzi, co przed kotem|kochanowski
Pierzchają nawiętszym błotem?|kochanowski
A na jego głos straszliwy|kochanowski
Ledwe drugi będzie żywy. |kochanowski
Głaszcz na nim, jako chcesz, skórę,|kochanowski
On przedsię ogonem wzgórę;|kochanowski
Zły z nim pokój, gorsza zwada;|kochanowski
Jeszcze i dziś strach sąsiada. |kochanowski
Czasem też i z dachu spadnie,|kochanowski
A przedsię na nogi padnie;|kochanowski
I chłop foremniejszy bywa,|kochanowski
Gdzie kot we łbie przemieszkiwa. |kochanowski
A to jako w nim szacować,|kochanowski
Że umie i praktykować?|kochanowski
A to tak wieszcza bestyja,|kochanowski
Że się zawżdy na deszcz myja. |kochanowski
Więc łowiec niepospolity|kochanowski
A w swych sprawach dziwnie skryty.|kochanowski
K’temu rzadko uśnie w nocy,|kochanowski
Ale ufa zawżdy mocy. |kochanowski
Kocie, wszytko to do czasu,|kochanowski
Strzeż wilka wyszczekać z lasu:|kochanowski
A może być i w tym stadzie,|kochanowski
Co już myśli o zakładzie.  |kochanowski
Kto mi dał skrzydła, kto mię odział pióry|kochanowski
I tak wysoko postawił, że z góry|kochanowski
Wszystek świat widzę, a sam, jako trzeba,|kochanowski
Tykam się nieba? |kochanowski
To li jest ogień on nieugaszony|kochanowski
Złotego słońca, które, nieskończony|kochanowski
Bieg bieżąc, wrotne od początku świata|kochanowski
Prowadzi lata? |kochanowski
To li jest on krąg odmiennej światłości,|kochanowski
Wódz gwiazd roźlicznych i sprawca żyzności?|kochanowski
Słyszę głos wdzięczny: prze Bóg, a na jawi,|kochanowski
Czy mię sen bawi? |kochanowski
Tu, widzę, ani ciemne mgły dochodzą,|kochanowski
Ani śnieg, ani zimne grady szkodzą;|kochanowski
Wieczna pogoda, dzień na wszystki strony|kochanowski
Trwa nieskończony. |kochanowski
Godne pałace Twojej wielmożności,|kochanowski
Panie, a jakiej cnota dostojności,|kochanowski
Widzę na oko, bowiem wedle Ciebie|kochanowski
Ma miejsce w niebie. |kochanowski
Kto by cię nie znał, Lechu Słowianinie,|kochanowski
Któryś napierwej zasiadł w tej krainie|kochanowski
I opanował męstwem swoim mocne|kochanowski
Brzegi północne? |kochanowski
Kroka patrz, jako siedząc tak wysoko,|kochanowski
Przedsię ku miastu swemu skłania oko.|kochanowski
Wandę wydawa ubiór, bo z postawy|kochanowski
Zda się mąż prawy. |kochanowski
Tu i fortelny Przemysł jest wniesiony,|kochanowski
I ten, co dostał trefunkiem korony,|kochanowski
Doźrzawszy zdrady, gdzie koń prędkonogi|kochanowski
Biegł zawód drogi. |kochanowski
Bóg fałszu nie chce; a jako miłuje|kochanowski
Sprawiedliwego, Piast i dziś to czuje,|kochanowski
Bo mieszka w niebie, a jego cne plemię|kochanowski
Rządziło ziemię. |kochanowski
Zemowit stoi wedle ojca prawie|kochanowski
Z drugimi równo: ty wysszej, Miecławie,|kochanowski
Którego sprawą chrześcijański zakon|kochanowski
Podań Polakom. |kochanowski
Tuż po nim widzę mężne Bolesławy,|kochanowski
Prze których dzielność i stateczne sprawy|kochanowski
Polska szeroko swych granic pomknęła|kochanowski
I serce wzięła. |kochanowski
W tejże jest liczbie on zakonnik święty,|kochanowski
Z cieniów klasztornych na królestwo wzięty.|kochanowski
Są dwa Leszczkowie; jest król wzrostem mały,|kochanowski
Ale mąż śmiały. |kochanowski
Widzę Jagiełła i dwu Kazimierzu,|kochanowski
Dobrych tak w boju, jako i w przymierzu.|kochanowski
Widzę i ciebie, gwiaździe równym prawie,|kochanowski
Cny Władysławie. |kochanowski
Tu też jest Olbracht, król serca wielkiego,|kochanowski
Tuż z Aleksandrem Sygmunt, za którego|kochanowski
Polska zakwitła, a po długim boju|kochanowski
Wytchła w pokoju. |kochanowski
Szlachetne dusze, które swej dzielności|kochanowski
Macie zapłatę niebieskie radości,|kochanowski
Życzcie ojczyźnie, aby wam rodziła|kochanowski
Podobnych siła! |kochanowski
A ten, co po was dziś państwo sprawuje,|kochanowski
Niechaj fortunnie i zdrów nam panuje,|kochanowski
A zwierzonego nie wzdawa opieku,|kochanowski
Aż pełen wieku!|kochanowski
Patrzaj, jako śnieg po górach się bieli,|kochanowski
Wiatry z północy wstają,|kochanowski
Jeziora się ścinają,|kochanowski
Żorawie, czując zimę, precz lecieli. |kochanowski
Nam nie lza, jedno patrzać też swej rzeczy:|kochanowski
Niechaj drew do komina,|kochanowski
Na stół przynoszą wina,|kochanowski
Ostatek niechaj Bóg ma na swej pieczy! |kochanowski
Przypadków dalszych żaden z nas nie zgadnie:|kochanowski
I prózno myślić o tym,|kochanowski
Co z nami będzie potym;|kochanowski
W godzinie wszystko Bóg wywróci snadnie. |kochanowski
Krótki wiek długiej nadzieje nie lubi.|kochanowski
Niechaj nie schodzi cało,|kochanowski
Coć się do rąk dostało;|kochanowski
Za to, co ma być, żaden ci nie ślubi. |kochanowski
Jeleniom nowe rogi wyrastają;|kochanowski
Nam, gdy raz młodość minie,|kochanowski
Już na wiek wiekom ginie,|kochanowski
A zawżdy gorsze lata przypadają.|kochanowski
Niezwykłym i nie leda piórem opatrzony,|kochanowski
Polecę precz, poeta, ze dwojej złożony|kochanowski
Natury: ani ja już przebywać na ziemi|kochanowski
Więcej będę, a więtszy nad zazdrość, ludnemi |kochanowski
Miasty wzgardzę. On w równym szczęściu urodzony,|kochanowski
On ja (jako mię zowiesz) wielce ulubiony,|kochanowski
Mój Myszkowski, nie umrę ani mię czarnemi|kochanowski
Styks niewesoła zamknie odnogami swymi. |kochanowski
Już mi skóra chropawa padnie na goleni,|kochanowski
Już mi w ptaka białego wierzch się głowy mieni;|kochanowski
Po palcach wszędy nowe piórka się puszczają,|kochanowski
A z ramion sążeniste skrzydła wyrastają. |kochanowski
Terazże nad Ikara prędszy przeważnego|kochanowski
Puste brzegi nawiedzę Bosfora hucznego|kochanowski
I Syrty Cyrenejskie, muzom poświęcony|kochanowski
Ptak, i pola zabiegłe za zimne Tryjony. |kochanowski
O mnie Moskwa i będą wiedzieć Tatarowie,|kochanowski
I róznego mieszkańcy świata, Anglikowie;|kochanowski
Mnie Niemiec i waleczny Hiszpan, mnie poznają,|kochanowski
Którzy głęboki strumień Tybrowy pijają. |kochanowski
Niech przy próznym pogrzebie żadne narzekanie,|kochanowski
Żaden lament nie będzie ani uskarżanie:|kochanowski
Świec i dzwonów zaniechaj, i mar drogo słanych,|kochanowski
I głosem żałobliwym żołtarzów śpiewanych! |kochanowski
Czego chcesz od nas, Panie, za Twe hojne dary?|kochanowski
Czego za dobrodziejstwa, którym nie masz miary?|kochanowski
Kościół Cię nie ogarnie, wszędy pełno Ciebie:|kochanowski
I w otchłaniach, i w morzu, na ziemi, na niebie. |kochanowski
Złota też, wiem, nie pragniesz, bo to wszytko Twoje,|kochanowski
Cokolwiek na tym świecie człowiek mieni swoje.|kochanowski
Wdzięcznym Cię tedy sercem, Panie, wyznawamy,|kochanowski
Bo nad to przystojniejszej ofiary nie mamy. |kochanowski
Tyś pan wszytkiego świata, Tyś niebo zbudował|kochanowski
I złotymi gwiazdami ślicznieś uhaftował.|kochanowski
Tyś fundament założył nieobeszłej ziemi|kochanowski
I przykryłeś jej nagość zioły rozlicznemi. |kochanowski
Za Twoim rozkazaniem w brzegach morze stoi,|kochanowski
A zamierzonych granic przeskoczyć się boi;|kochanowski
Rzeki wód nieprzebranych wielką hojność mają,|kochanowski
Biały dzień, a noc ciemna swoje czasy znają. |kochanowski
Tobie k'woli rozliczne kwiatki Wiosna rodzi,|kochanowski
Tobie k'woli w kłosianym wieńcu Lato chodzi,|kochanowski
Wino Jesień i jabłka rozmaite dawa,|kochanowski
Potym do gotowego gnuśna Zima wstawa. |kochanowski
Z Twej łaski nocna rosa na mdłe zioła padnie,|kochanowski
A zagorzałe zboża deszcz ożywia snadnie;|kochanowski
Z Twoich rąk wszelkie źwierzę patrza swej żywności,|kochanowski
A Ty każdego żywisz z Twej szczodrobliwości. |kochanowski
Bądź na wieki pochwalon, nieśmiertelny Panie!|kochanowski
Twoja łaska, Twa dobroć nigdy nie ustanie.|kochanowski
Chowaj nas, póki raczysz, na tej niskiej ziemi;|kochanowski
Jedno zawżdy niech będziem pod skrzydłami Twemi!|kochanowski
My, nieposłuszne, Panie, dzieci Twoje|kochanowski
W szcześliwe czasy swoje|kochanowski
Rzadko Cię wspominamy,|kochanowski
Tylko rozkoszy zwykłych używamy.|kochanowski
Nie baczym, że to z Twej łaski nam płynie:|kochanowski
A także prędko minie,|kochanowski
Kiedy po nas wdzięczności|kochanowski
Nie uznasz, Panie, za Twe życzliwości.|kochanowski
Miej nas na wodzy, niech nas nie rozpycha |kochanowski
Docześna rozkosz licha. |kochanowski
Niechaj na Cię pomniemy|kochanowski
Przynamniej w kaźni, gdy w łasce nie chcemy.|kochanowski
Ale ojcowskim nas karz obyczajem, |kochanowski
Boć przed Twym gniewem stajem, |kochanowski
Tak jako śnieg niszczeje,|kochanowski
Kiedy mu słońce niebieskie dogrzeje.|kochanowski
Zgubisz nas prędko, wiekuisty Panie, |kochanowski
Jesli nad nami stanie |kochanowski
Twa ciężka Boska ręka;|kochanowski
Sama niełaska jest nam sroga męka.|kochanowski
Ale od wieku Twoja lutość słynie, |kochanowski
A pierwej świat zaginie, |kochanowski
Niż Ty wzgardzisz pokornym,|kochanowski
Chocia był długo przeciw Tobie spornym.|kochanowski
Wielkie przed Tobą są występy moje, |kochanowski
Lecz miłosierdzie Twoje |kochanowski
Przewyssza wszytki złości:|kochanowski
Użyj dziś, Panie, nade mną litości.|kochanowski
Erato złotowłosa i ty, wdzięczna lutni,|kochanowski
Skąd pociechę w swych troskach biorą ludzie smutni!|kochanowski
Uspokójcie na chwilę strapioną myśl moję,|kochanowski
Póki jeszcze kamienny w polu słup nie stoję,|kochanowski
Lejąc ledwe nie krwawy płacz przez marmór żywy,|kochanowski
Żalu ciężkiego pamięć i znak nieszczęśliwy.|kochanowski
Mylę sie? czyli patrząc na ludzkie przygody|kochanowski
Skromniej człowiek uważa i swe własne szkody?|kochanowski
Nieszczesna matko (jeśli przyczytać możemy|kochanowski
Nieszcześciu, co prze głupi rozum swój cierpiemy),|kochanowski
Gdzie teraz twych siedm’ synów i dziewek tak wiele?|kochanowski
Gdzie pociecha? gdzie radość? i twoje wesele?|kochanowski
Widzę czternaście mogił, a ty nieszcześliwa|kochanowski
I podobno tak długo nad wolą swą żywa|kochanowski
Obłapiasz zimne groby, w których (ach, niebogo!)|kochanowski
Składłaś dziateczki swoje zagubione srogo.|kochanowski
Takie więc kwiaty leżą kosą podsieczone|kochanowski
Albo deszczem gwałtownym na ziemię złożone.|kochanowski
W którą nadzieję żywiesz? Czego czekasz więcej?|kochanowski
Czemu śmiercią żałości nie zbywasz co pręcej?|kochanowski
A wasze prętkie strzały albo łuk co czyni|kochanowski
Niepochybny, o Febe i mściwa bogini?|kochanowski
Albo z gniewu (bo winna), albo więc z lutości|kochanowski
Dokonajcie, prze Boga, jej biednej starości!|kochanowski
Nowa pomsta, nowa kaźń hardą myśl potkała:|kochanowski
Dziatek płacząc Nijobe sama skamieniała|kochanowski
I stoi na Sipylu marmór nieprzetrwany,|kochanowski
Jednak i pod kamieniem żywią skryte rany.|kochanowski
Jej bowiem łzy serdeczne skałę przenikają|kochanowski
I przeźrzoczystym z góry strumieniem spadają,|kochanowski
Skąd źwierz i ptastwo pije; a ta w wiecznym pęcie|kochanowski
Tkwi w rogu skały wiatrom szalonym na wstręcie.|kochanowski
Ten grób nie jest na martwym, ten martwy nie w grobie,|kochanowski
Ale samże jest martwym, samże grobem sobie.|kochanowski
Żałość moja długo w noc oczu mi nie dała|kochanowski
Zamknąć i zemdlonego upokoić ciała.|kochanowski
Ledwie mię na godzinę przed świtanim swymi|kochanowski
Sen leniwy obłapił skrzydły czarnawymi.|kochanowski
Na ten czas sie matka własnie ukazała,|kochanowski
A na ręku Orszulę moję wdzięczna miała,|kochanowski
Jaka więc po paciorek do mnie przychodziła,|kochanowski
Skoro z swego posłania rano sie ruszyła.|kochanowski
Giezłeczko białe na niej, włoski pokręcone,|kochanowski
Twarz rumiana, a oczy ku śmiechu skłonione.|kochanowski
Patrzę, co dalej będzie, aż matka tak rzecze:|kochanowski
„Spisz, Janie, czy cię żałość twoja zwykła piecze?”|kochanowski
Zatym-em ciężko westchnął i tak mi sie zdało,|kochanowski
Żem sie ocknął. A ona, pomilczawszy mało,|kochanowski
Znowu mówić poczęła: „Twój nieutulony|kochanowski
Płacz, synu mój, przywiódł mię w te tu wasze strony|kochanowski
Z krain barzo dalekich, a łzy gorzkie twoje|kochanowski
Przeszły aż i umarłych tajemne pokoje.|kochanowski
Przyniosłam ci na ręku wdzięczną dziewkę twoję,|kochanowski
Abyś ją mógł oglądać jeszcze, a tę swoję|kochanowski
Serdeczną żałość ujął, która tak ujmuje|kochanowski
Sił twoich i tak zdrowie nieznacznie twe psuje,|kochanowski
Jako ogień suchy knot obraca w perzyny,|kochanowski
Darmo nie upuszczając namniejszej godziny.|kochanowski
Czyli nas już umarłe macie za stracone|kochanowski
I którym już na wieki słońce jest zgaszone?|kochanowski
A my, owszem, żywiemy żywot tym ważniejszy,|kochanowski
Czym nad to grube ciało duch jest ślachetniejszy.|kochanowski
Ziemia w ziemię się wraca, a duch z nieba dany|kochanowski
Miałby zginąć ani na miejsca swe wezwany?|kochanowski
O to sie ty nie frasuj, a wierz niewątpliwie,|kochanowski
Że twoja namilejsza Orszuleczka żywie.|kochanowski
A tu więc takim ci sie kształtem ukazała,|kochanowski
Jakoby sie śmiertelnym oczom poznać dała,|kochanowski
Ale miedzy anioły i duchy wiecznymi|kochanowski
Jako wdzięczna jutrzenka świeci, a za swymi|kochanowski
Rodzicami sie modli, jako to umiała|kochanowski
Z wami będąc, choć jeszcze słów nie domawiała.|kochanowski
Jesliżeć też stąd roście żałość, że jej lata|kochanowski
Pierwej są przyłomione, niżli tego świata|kochanowski
Rozkoszy zażyć mogła? O biedne i płone|kochanowski
Rozkoszy wasze, które tak są usadzone,|kochanowski
Że w nich więcej frasunków i żałości więcej,|kochanowski
Czego ty doznać możesz sam z siebie napręcej.|kochanowski
Ucieszyłeś sie kiedy z dziewki swej tak wiele,|kochanowski
Żeby pociecha twoja i ono wesele|kochanowski
Mogło porównać z twoim dzisiejszym kłopotem?|kochanowski
Nie rzeczesz tego, widzę. Także trzymaj o tem,|kochanowski
Jakoś doznał, ani sie frasuj, że tak rana|kochanowski
Twojej ze wszech namilszej dziewce śmierć zesłana.|kochanowski
Nie od rozkoszyć poszła; poszłać od trudności,|kochanowski
Od pracej, od frasunków, od złez, od żałości,|kochanowski
Czego świat ma tak wiele, że – by też co było|kochanowski
W tym docześnym żywocie człowieczeństwu miło –|kochanowski
Musi smak swój utracić prze wielkość przysady,|kochanowski
